# Tempo	Probabilidade
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	0.888889
10	0.8
11	0.727273
12	0.666667
13	0.615385
14	0.571429
15	0.533333
16	0.5
17	0.470588
18	0.444444
19	0.421053
20	0.4
21	0.380952
22	0.363636
23	0.347826
24	0.333333
25	0.32
26	0.307692
27	0.296296
28	0.285714
29	0.275862
30	0.266667
31	0.258065
32	0.25
33	0.242424
34	0.235294
35	0.228571
36	0.222222
37	0.216216
38	0.210526
39	0.205128
40	0.2
41	0.195122
42	0.190476
43	0.186047
44	0.204545
45	0.222222
46	0.23913
47	0.255319
48	0.270833
49	0.285714
50	0.3
51	0.313725
52	0.307692
53	0.301887
54	0.296296
55	0.290909
56	0.285714
57	0.280702
58	0.275862
59	0.271186
60	0.266667
61	0.262295
62	0.258065
63	0.253968
64	0.25
65	0.246154
66	0.242424
67	0.238806
68	0.25
69	0.26087
70	0.271429
71	0.28169
72	0.291667
73	0.30137
74	0.297297
75	0.293333
76	0.302632
77	0.311688
78	0.320513
79	0.329114
80	0.3375
81	0.345679
82	0.353659
83	0.361446
84	0.369048
85	0.376471
86	0.383721
87	0.390805
88	0.397727
89	0.404494
90	0.4
91	0.395604
92	0.402174
93	0.408602
94	0.414894
95	0.421053
96	0.427083
97	0.43299
98	0.438776
99	0.444444
100	0.45
101	0.455446
102	0.460784
103	0.466019
104	0.471154
105	0.47619
106	0.481132
107	0.485981
108	0.490741
109	0.495413
110	0.5
111	0.504505
112	0.508929
113	0.513274
114	0.517544
115	0.521739
116	0.525862
117	0.529915
118	0.533898
119	0.537815
120	0.541667
121	0.545455
122	0.54918
123	0.552846
124	0.556452
125	0.56
126	0.563492
127	0.566929
128	0.570312
129	0.573643
130	0.576923
131	0.580153
132	0.583333
133	0.586466
134	0.589552
135	0.585185
136	0.580882
137	0.576642
138	0.57971
139	0.582734
140	0.585714
141	0.588652
142	0.591549
143	0.587413
144	0.583333
145	0.57931
146	0.575342
147	0.571429
148	0.574324
149	0.577181
150	0.58
151	0.582781
152	0.585526
153	0.581699
154	0.577922
155	0.574194
156	0.570513
157	0.566879
158	0.563291
159	0.559748
160	0.5625
161	0.565217
162	0.567901
163	0.570552
164	0.567073
165	0.563636
166	0.566265
167	0.568862
168	0.571429
169	0.573964
170	0.576471
171	0.578947
172	0.581395
173	0.583815
174	0.586207
175	0.588571
176	0.590909
177	0.59322
178	0.595506
179	0.597765
180	0.6
181	0.60221
182	0.604396
183	0.601093
184	0.597826
185	0.594595
186	0.591398
187	0.588235
188	0.585106
189	0.582011
190	0.578947
191	0.575916
192	0.572917
193	0.569948
194	0.56701
195	0.564103
196	0.561224
197	0.558376
198	0.555556
199	0.557789
200	0.555
201	0.552239
202	0.549505
203	0.546798
204	0.544118
205	0.541463
206	0.538835
207	0.536232
208	0.533654
209	0.5311
210	0.528571
211	0.526066
212	0.523585
213	0.521127
214	0.518692
215	0.516279
216	0.513889
217	0.511521
218	0.509174
219	0.506849
220	0.504545
221	0.502262
222	0.504505
223	0.506726
224	0.508929
225	0.511111
226	0.513274
227	0.515419
228	0.517544
229	0.519651
230	0.521739
231	0.52381
232	0.525862
233	0.527897
234	0.529915
235	0.531915
236	0.533898
237	0.535865
238	0.537815
239	0.539749
240	0.541667
241	0.543568
242	0.545455
243	0.547325
244	0.54918
245	0.55102
246	0.552846
247	0.554656
248	0.556452
249	0.558233
250	0.56
251	0.561753
252	0.563492
253	0.561265
254	0.559055
255	0.560784
256	0.5625
257	0.564202
258	0.565891
259	0.563707
260	0.561538
261	0.559387
262	0.557252
263	0.558935
264	0.560606
265	0.558491
266	0.556391
267	0.554307
268	0.552239
269	0.550186
270	0.548148
271	0.546125
272	0.544118
273	0.542125
274	0.540146
275	0.538182
276	0.536232
277	0.534296
278	0.532374
279	0.530466
280	0.528571
281	0.52669
282	0.524823
283	0.522968
284	0.521127
285	0.519298
286	0.517483
287	0.515679
288	0.513889
289	0.512111
290	0.513793
291	0.515464
292	0.517123
293	0.518771
294	0.520408
295	0.522034
296	0.523649
297	0.525253
298	0.526846
299	0.528428
300	0.53
301	0.531561
302	0.533113
303	0.534653
304	0.536184
305	0.537705
306	0.539216
307	0.540717
308	0.542208
309	0.543689
310	0.541935
311	0.540193
312	0.538462
313	0.536741
314	0.535032
315	0.533333
316	0.531646
317	0.529968
318	0.528302
319	0.526646
320	0.525
321	0.52648
322	0.52795
323	0.529412
324	0.530864
325	0.532308
326	0.533742
327	0.535168
328	0.536585
329	0.537994
330	0.539394
331	0.540785
332	0.542169
333	0.540541
334	0.538922
335	0.537313
336	0.535714
337	0.534125
338	0.532544
339	0.533923
340	0.532353
341	0.530792
342	0.52924
343	0.527697
344	0.526163
345	0.524638
346	0.523121
347	0.521614
348	0.520115
349	0.518625
