# Tempo	Probabilidade
1	1
2	0.5
3	0.333333
4	0.25
5	0.2
6	0.166667
7	0.285714
8	0.25
9	0.333333
10	0.3
11	0.363636
12	0.416667
13	0.384615
14	0.428571
15	0.466667
16	0.4375
17	0.411765
18	0.444444
19	0.473684
20	0.45
21	0.428571
22	0.454545
23	0.478261
24	0.458333
25	0.44
26	0.423077
27	0.444444
28	0.428571
29	0.413793
30	0.433333
31	0.419355
32	0.4375
33	0.454545
34	0.441176
35	0.457143
36	0.444444
37	0.459459
38	0.447368
39	0.461538
40	0.475
41	0.463415
42	0.452381
43	0.44186
44	0.454545
45	0.466667
46	0.478261
47	0.468085
48	0.479167
49	0.489796
50	0.5
51	0.490196
52	0.5
53	0.509434
54	0.518519
55	0.527273
56	0.535714
57	0.54386
58	0.534483
59	0.542373
60	0.533333
61	0.52459
62	0.532258
63	0.539683
64	0.53125
65	0.523077
66	0.515152
67	0.507463
68	0.514706
69	0.521739
70	0.528571
71	0.535211
72	0.541667
73	0.534247
74	0.540541
75	0.533333
76	0.539474
77	0.532468
78	0.525641
79	0.531646
80	0.525
81	0.518519
82	0.512195
83	0.506024
84	0.511905
85	0.505882
86	0.5
87	0.505747
88	0.511364
89	0.516854
90	0.511111
91	0.516484
92	0.51087
93	0.505376
94	0.5
95	0.494737
96	0.5
97	0.494845
98	0.5
99	0.494949
100	0.5
101	0.49505
102	0.5
103	0.504854
104	0.5
105	0.504762
106	0.509434
107	0.504673
108	0.5
109	0.495413
110	0.490909
111	0.486486
112	0.491071
113	0.495575
114	0.491228
115	0.486957
116	0.491379
117	0.495726
118	0.491525
119	0.495798
120	0.5
121	0.495868
122	0.491803
123	0.495935
124	0.491935
125	0.496
126	0.5
127	0.496063
128	0.5
129	0.503876
130	0.5
131	0.503817
132	0.507576
133	0.511278
134	0.507463
135	0.511111
136	0.507353
137	0.510949
138	0.507246
139	0.503597
140	0.507143
141	0.503546
142	0.507042
143	0.503497
144	0.5
145	0.503448
146	0.5
147	0.503401
148	0.5
149	0.503356
150	0.5
151	0.496689
152	0.493421
153	0.496732
154	0.493506
155	0.496774
156	0.5
157	0.503185
158	0.5
159	0.503145
160	0.5
161	0.496894
162	0.5
163	0.496933
164	0.5
165	0.49697
166	0.5
167	0.497006
168	0.494048
169	0.491124
170	0.488235
171	0.491228
172	0.488372
173	0.491329
174	0.488506
175	0.491429
176	0.488636
177	0.485876
178	0.483146
179	0.480447
180	0.483333
181	0.486188
182	0.483516
183	0.486339
184	0.48913
185	0.491892
186	0.489247
187	0.486631
188	0.484043
189	0.481481
190	0.478947
191	0.481675
192	0.479167
193	0.481865
194	0.479381
195	0.482051
196	0.479592
197	0.477157
198	0.474747
199	0.477387
200	0.475
201	0.477612
202	0.480198
203	0.482759
204	0.485294
205	0.482927
206	0.480583
207	0.478261
208	0.480769
209	0.483254
210	0.485714
211	0.488152
212	0.485849
213	0.488263
214	0.490654
215	0.488372
216	0.490741
217	0.493088
218	0.495413
219	0.497717
220	0.495455
221	0.497738
222	0.495495
223	0.497758
224	0.495536
225	0.493333
226	0.49115
227	0.493392
228	0.491228
229	0.489083
230	0.491304
231	0.493506
232	0.491379
233	0.48927
234	0.491453
235	0.493617
236	0.491525
237	0.489451
238	0.487395
239	0.48954
240	0.4875
241	0.485477
242	0.483471
243	0.481481
244	0.483607
245	0.481633
246	0.479675
247	0.481781
248	0.483871
249	0.481928
250	0.484
251	0.482072
252	0.480159
253	0.482213
254	0.484252
255	0.482353
256	0.484375
257	0.486381
258	0.488372
259	0.486486
260	0.488462
261	0.48659
262	0.484733
263	0.486692
264	0.484848
265	0.486792
266	0.488722
267	0.490637
268	0.492537
269	0.490706
270	0.492593
271	0.490775
272	0.488971
273	0.487179
274	0.489051
275	0.487273
276	0.485507
277	0.487365
278	0.489209
279	0.487455
280	0.485714
281	0.487544
282	0.489362
283	0.487633
284	0.485915
285	0.484211
286	0.482517
287	0.480836
288	0.479167
289	0.477509
290	0.47931
291	0.477663
292	0.479452
293	0.477816
294	0.479592
295	0.477966
296	0.47973
297	0.481481
298	0.479866
299	0.481605
300	0.48
301	0.478405
302	0.480132
303	0.478548
304	0.480263
305	0.478689
306	0.477124
307	0.47557
308	0.477273
309	0.478964
310	0.477419
311	0.4791
312	0.477564
313	0.476038
314	0.477707
315	0.479365
316	0.481013
317	0.479495
318	0.477987
319	0.476489
320	0.478125
321	0.476636
322	0.478261
323	0.47678
324	0.478395
325	0.476923
326	0.478528
327	0.477064
328	0.478659
329	0.480243
330	0.478788
331	0.477341
332	0.478916
333	0.477477
334	0.476048
335	0.477612
336	0.479167
337	0.480712
338	0.47929
339	0.480826
340	0.479412
341	0.478006
342	0.479532
343	0.48105
344	0.482558
345	0.484058
346	0.482659
347	0.48415
348	0.485632
349	0.484241
350	0.485714
351	0.48433
352	0.485795
353	0.487252
354	0.485876
355	0.487324
356	0.485955
357	0.484594
358	0.486034
359	0.48468
360	0.486111
361	0.484765
362	0.486188
363	0.484848
364	0.486264
365	0.487671
366	0.486339
367	0.485014
368	0.483696
369	0.485095
370	0.483784
371	0.485175
372	0.483871
373	0.482574
374	0.483957
375	0.485333
376	0.486702
377	0.485411
378	0.486772
379	0.485488
380	0.486842
381	0.488189
382	0.486911
383	0.488251
384	0.489583
385	0.490909
386	0.489637
387	0.488372
388	0.489691
389	0.488432
390	0.487179
391	0.485934
392	0.484694
393	0.486005
394	0.48731
395	0.488608
396	0.487374
397	0.488665
398	0.487437
399	0.488722
400	0.4875
401	0.486284
402	0.487562
403	0.488834
404	0.490099
405	0.488889
406	0.490148
407	0.488943
408	0.490196
409	0.488998
410	0.487805
411	0.489051
412	0.487864
413	0.486683
414	0.487923
415	0.486747
416	0.487981
417	0.489209
418	0.488038
419	0.48926
420	0.490476
421	0.489311
422	0.490521
423	0.489362
424	0.490566
425	0.491765
426	0.492958
427	0.494145
428	0.492991
429	0.494172
430	0.495349
431	0.4942
432	0.493056
433	0.494226
434	0.495392
435	0.496552
436	0.497706
437	0.496568
438	0.497717
439	0.498861
440	0.5
441	0.498866
442	0.497738
443	0.498871
444	0.497748
445	0.496629
446	0.497758
447	0.498881
448	0.497768
449	0.498886
450	0.5
451	0.501109
452	0.5
453	0.501104
454	0.5
455	0.501099
456	0.502193
457	0.501094
458	0.502183
459	0.503268
460	0.502174
461	0.501085
462	0.502165
463	0.50108
464	0.502155
465	0.503226
466	0.504292
467	0.503212
468	0.504274
469	0.50533
470	0.504255
471	0.503185
472	0.504237
473	0.503171
474	0.504219
475	0.503158
476	0.504202
477	0.503145
478	0.504184
479	0.503132
480	0.502083
481	0.50104
482	0.5
483	0.498965
484	0.5
485	0.501031
486	0.5
487	0.501027
488	0.502049
489	0.501022
490	0.502041
491	0.503055
492	0.502033
493	0.503043
494	0.502024
495	0.50303
496	0.504032
497	0.503018
498	0.502008
499	0.503006
500	0.504
501	0.50499
502	0.503984
503	0.502982
504	0.503968
505	0.50495
506	0.503953
507	0.502959
508	0.503937
509	0.504912
510	0.503922
511	0.502935
512	0.503906
513	0.502924
514	0.503891
515	0.502913
516	0.501938
517	0.500967
518	0.5
519	0.499037
520	0.5
521	0.49904
522	0.5
523	0.500956
524	0.501908
525	0.500952
526	0.501901
527	0.500949
528	0.501894
529	0.500945
530	0.501887
531	0.500942
532	0.50188
533	0.502814
534	0.501873
535	0.500935
536	0.5
537	0.500931
538	0.5
539	0.500928
540	0.501852
541	0.500924
542	0.501845
543	0.500921
544	0.5
545	0.499083
546	0.498168
547	0.497258
548	0.498175
549	0.499089
550	0.5
551	0.499093
552	0.498188
553	0.499096
554	0.5
555	0.499099
556	0.498201
557	0.499102
558	0.5
559	0.499106
560	0.498214
561	0.497326
562	0.498221
563	0.497336
564	0.498227
565	0.499115
566	0.498233
567	0.499118
568	0.498239
569	0.497364
570	0.498246
571	0.497373
572	0.498252
573	0.497382
574	0.498258
575	0.497391
576	0.498264
577	0.499133
578	0.49827
579	0.499136
580	0.498276
581	0.499139
582	0.498282
583	0.499142
584	0.5
585	0.499145
586	0.498294
587	0.497445
588	0.498299
589	0.497453
590	0.498305
591	0.497462
592	0.498311
593	0.49747
594	0.496633
595	0.497479
596	0.496644
597	0.497487
598	0.496656
599	0.495826
600	0.496667
601	0.497504
602	0.498339
603	0.497512
604	0.498344
605	0.499174
606	0.49835
607	0.499176
608	0.5
609	0.500821
610	0.5
611	0.499182
612	0.5
613	0.499184
614	0.5
615	0.499187
616	0.498377
617	0.497569
618	0.496764
619	0.497577
620	0.496774
621	0.495974
622	0.496785
623	0.497592
624	0.498397
625	0.4976
626	0.498403
627	0.499203
628	0.498408
629	0.499205
630	0.498413
631	0.497623
632	0.498418
633	0.49763
634	0.498423
635	0.499213
636	0.498428
637	0.499215
638	0.498433
639	0.499218
640	0.5
641	0.50078
642	0.5
643	0.500778
644	0.501553
645	0.502326
646	0.501548
647	0.500773
648	0.501543
649	0.502311
650	0.501538
651	0.502304
652	0.503067
653	0.502297
654	0.503058
655	0.503817
656	0.504573
657	0.503805
658	0.504559
659	0.503794
660	0.504545
661	0.505295
662	0.504532
663	0.505279
664	0.504518
665	0.505263
666	0.504505
667	0.505247
668	0.504491
669	0.503737
670	0.504478
671	0.503726
672	0.504464
673	0.503715
674	0.502967
675	0.502222
676	0.501479
677	0.500739
678	0.501475
679	0.500736
680	0.5
681	0.499266
682	0.5
683	0.500732
684	0.5
685	0.50073
686	0.5
687	0.500728
688	0.501453
689	0.500726
690	0.5
691	0.499276
692	0.498555
693	0.499278
694	0.5
695	0.500719
696	0.501437
697	0.502152
698	0.501433
699	0.500715
700	0.5
701	0.499287
702	0.498575
703	0.499289
704	0.49858
705	0.499291
706	0.498584
707	0.499293
708	0.498588
709	0.499295
710	0.498592
711	0.499297
712	0.498596
713	0.497896
714	0.497199
715	0.496503
716	0.497207
717	0.497908
718	0.497214
719	0.497914
720	0.497222
721	0.49792
722	0.49723
723	0.497925
724	0.497238
725	0.497931
726	0.498623
727	0.499312
728	0.498626
729	0.497942
730	0.49863
731	0.497948
732	0.497268
733	0.497954
734	0.497275
735	0.497959
736	0.497283
737	0.497965
738	0.49729
739	0.496617
740	0.497297
741	0.496626
742	0.497305
743	0.497981
744	0.498656
745	0.497987
746	0.49866
747	0.499331
748	0.5
749	0.500668
750	0.5
751	0.499334
752	0.49867
753	0.499336
754	0.498674
755	0.498013
756	0.497354
757	0.498018
758	0.497361
759	0.498024
760	0.498684
761	0.498029
762	0.497375
763	0.498034
764	0.498691
765	0.498039
766	0.497389
767	0.496741
768	0.497396
769	0.498049
770	0.497403
771	0.496757
772	0.497409
773	0.496766
774	0.496124
775	0.495484
776	0.494845
777	0.495495
778	0.494859
779	0.495507
780	0.494872
781	0.495519
782	0.496164
783	0.49553
784	0.496173
785	0.496815
786	0.497455
787	0.498094
788	0.497462
789	0.498099
790	0.497468
791	0.496839
792	0.497475
793	0.496847
794	0.496222
795	0.495597
796	0.494975
797	0.495609
798	0.496241
799	0.496871
800	0.49625
801	0.496879
802	0.496259
803	0.495641
804	0.495025
805	0.49441
806	0.495037
807	0.494424
808	0.49505
809	0.495674
810	0.496296
811	0.495684
812	0.495074
813	0.495695
814	0.495086
815	0.495706
816	0.495098
817	0.495716
818	0.496333
819	0.495726
820	0.495122
821	0.494519
822	0.495134
823	0.494532
824	0.495146
825	0.494545
826	0.495157
827	0.494559
828	0.493961
829	0.493366
830	0.493976
831	0.493381
832	0.492788
833	0.492197
834	0.491607
835	0.492216
836	0.491627
837	0.492234
838	0.491647
839	0.492253
840	0.492857
841	0.492271
842	0.492874
843	0.493476
844	0.494076
845	0.493491
846	0.49409
847	0.494687
848	0.494104
849	0.4947
850	0.495294
851	0.494712
852	0.494131
853	0.493552
854	0.494145
855	0.494737
856	0.494159
857	0.493582
858	0.493007
859	0.493597
860	0.493023
861	0.492451
862	0.493039
863	0.493627
864	0.494213
865	0.493642
866	0.494226
867	0.493656
868	0.49424
869	0.493671
870	0.493103
871	0.492537
872	0.493119
873	0.4937
874	0.493135
875	0.492571
876	0.493151
877	0.493729
878	0.493166
879	0.493743
880	0.494318
881	0.493757
882	0.494331
883	0.493771
884	0.494344
885	0.493785
886	0.493228
887	0.492672
888	0.492117
889	0.491564
890	0.491011
891	0.491582
892	0.491031
893	0.491601
894	0.491051
895	0.49162
896	0.491071
897	0.491639
898	0.492205
899	0.49277
900	0.492222
901	0.491676
902	0.491131
903	0.491694
904	0.49115
905	0.491713
906	0.49117
907	0.490628
908	0.490088
909	0.489549
910	0.489011
911	0.489572
912	0.490132
913	0.489595
914	0.490153
915	0.489617
916	0.489083
917	0.48964
918	0.489107
919	0.488575
920	0.48913
921	0.489685
922	0.489154
923	0.489707
924	0.489177
925	0.48973
926	0.490281
927	0.490831
928	0.490302
929	0.489774
930	0.489247
931	0.489796
932	0.490343
933	0.489818
934	0.489293
935	0.48984
936	0.490385
937	0.489861
938	0.489339
939	0.488818
940	0.489362
941	0.488842
942	0.488323
943	0.488865
944	0.488347
945	0.487831
946	0.487315
947	0.487856
948	0.487342
949	0.487882
950	0.488421
951	0.488959
952	0.488445
953	0.487933
954	0.487421
955	0.486911
956	0.487448
957	0.486938
958	0.48643
959	0.485923
960	0.485417
961	0.485952
962	0.485447
963	0.484943
964	0.485477
965	0.48601
966	0.485507
967	0.485005
968	0.485537
969	0.485036
970	0.485567
971	0.486097
972	0.485597
973	0.485098
974	0.485626
975	0.485128
976	0.484631
977	0.485159
978	0.484663
979	0.484168
980	0.483673
981	0.4842
982	0.483707
983	0.484232
984	0.484756
985	0.484264
986	0.483773
987	0.484296
988	0.484818
989	0.484328
990	0.484848
991	0.484359
992	0.484879
993	0.484391
994	0.483903
995	0.483417
996	0.483936
997	0.48345
998	0.483968
999	0.483483
1000	0.484
1001	0.484515
1002	0.48503
1003	0.484546
1004	0.484064
1005	0.484577
1006	0.484095
1007	0.484608
